ticker,sector,volatility
AAPL,Tech,Low
MSFT,Tech,Low
GOOGL,Tech,Medium
AMZN,Tech,Medium
NVDA,Tech,High
META,Tech,Medium
TSLA,Auto,High
BRK.B,Finance,Low
JPM,Finance,Low
V,Finance,Low
UNH,Healthcare,Low
JNJ,Healthcare,Low
PG,Consumer Goods,Low
XOM,Energy,Medium
HD,Retail,Medium
MA,Finance,Low
LLY,Healthcare,Medium
ABBV,Healthcare,Medium
MRK,Healthcare,Low
PEP,Consumer Goods,Low
KO,Consumer Goods,Low
AVGO,Tech,Medium
COST,Retail,Low
WMT,Retail,Low
BAC,Finance,Medium
NFLX,Tech,High
CRM,Tech,Medium
ACN,Tech,Low
TMO,Healthcare,Low
QCOM,Tech,Medium
ORCL,Tech,Low
DIS,Media,Medium
MCD,Retail,Low
DHR,Healthcare,Low
ADBE,Tech,Medium
TXN,Tech,Medium
NEE,Energy,Medium
PFE,Healthcare,Medium
CVX,Energy,Medium
INTC,Tech,Medium
ABT,Healthcare,Low
UPS,Logistics,Low
PM,Consumer Goods,Medium
CAT,Industrial,Medium
IBM,Tech,Low
BA,Aerospace,High
GE,Industrial,Medium
HON,Industrial,Medium
LOW,Retail,Low
AMD,Tech,High
